cuisine,name,num_reviews,price,stars
Pubs,The Running Horse Mayfair,2,N\A,4
Italian,Stef's Italian,0,39.5,5
Italian,Prezzo - St Martins Lane,2,N\A,4
Italian,Il Vicolo,0,39.5,5
Bars,Freud - Shaftesbury Avenue,1,N\A,4.5
"Spanish, Tapas",Mas Q Menos Soho,0,39.5,5
Italian,Melanie Italian Restaurant,2,N\A,4.5
,Los Locos,0,N\A,5
Greek,The Real Greek St Martin's Lane,1,39.5,4
British,W Hotel,0,N\A,5
Bars,The Lobby Bar at One Aldwych,1,N\A,3
"British, Italian",Manteca,0,39.5,5
Brazilian,Galeto ,0,39.5,5
"Bars, Japanese",Shochu Lounge at Roka Charlotte Street,2,N\A,3
Bars,Cellar Door,1,N\A,3.5
Korean,Kimchee,5,39.5,3.5
Steak,Flat Iron Denmark Street,2,39.5,4
"Afternoon tea, British",Afternoon Tea at The Sheraton Grand London,0,64.5,5
Chinese,New Mayflower,0,N\A,5
"Afternoon tea, Bars, Modern European, Wine Bars",Locket's,0,39.5,5
International,The Breakfast Club Soho,1,30.0,4
"Burgers, International",Byron Beak Street,0,30.0,5
"Japanese, Sushi",Ikeda,1,39.5,3.5
Bars,45 Jermyn Street bar,1,N\A,5
French,Noize,11,39.5,4
"Italian, Wine Bars",Il Tempo,0,N\A,5
Pubs,The Clarence Mayfair,0,N\A,5
Vietnamese,Viet Food,3,39.5,2
Bars,Good Godfrey's at The Waldorf Hilton,0,N\A,5
Spanish,Sabor Soho,0,64.5,5
Hotel Bars,Smith & Whistle,0,30.0,5
Thai,Soho Thai,0,N\A,5
International,Whyte & Brown,0,30.0,5
Bars,Blame Gloria,0,N\A,5
Indian,Malabar Junction,0,39.5,5
Bars,Primo Bar at the Park Plaza,0,N\A,5
Mexican,Chilango Chancery Lane,0,30.0,5
North American,Roadhouse,1,N\A,5
Bars,Terrace Bar at The Chesterfield Mayfair,0,N\A,5
"Burgers, International",Byron Holborn,0,30.0,5
Pubs,Argyll Arms,1,N\A,4.5
"International, South American, Sushi",Amazonico,0,64.5,5
,Rapha Cycle Club,0,30.0,5
Spanish,Sabor: The Counter,2,39.5,5
Fish,The Rock & Sole Plaice,2,39.5,1.5
"Spanish, Tapas",Meson Don Felipe,4,39.5,2
British,Wild Heart Bar & Restaurant,0,39.5,5
Chinese,Orient London China Town ,0,39.5,5
Italian,Bella Italia - Shaftesbury Avenue,0,30.0,5
Chinese,New World ,0,N\A,5
Modern European,The Piano Works West End ,0,64.5,5
British,The English Grill at The Rubens at the Palace,0,N\A,5
"Spanish, Tapas",Pix Carnaby,2,30.0,5
"Austrian, International",Boopshi's,3,39.5,4
"British, Steak",Sophie's Soho,3,39.5,5
Pubs,Green Man & French Horn,4,39.5,3.5
Bars,Baja Room at El Camion,0,N\A,5
Moroccan,Momo,15,64.5,3
Japanese,Kintan,2,39.5,5
Vietnamese,Keu Soho,0,30.0,5
Greek,21 Bateman Street,0,39.5,5
Middle Eastern,Fafa's,0,30.0,5
Burgers,Gourmet Burger Kitchen Waterloo,0,N\A,5
"Burgers, International",Byron  Strand,1,30.0,5
Italian,Babbo,2,64.5,4
Modern European,100 Wardour St (Restaurant & Club),5,64.5,5
"French, International",Bagatelle,0,N\A,5
Italian,Sartoria,13,64.5,4
"British, French, Modern European",Wild Honey St James,32,64.5,3
Indian,Kanishka,4,64.5,4
Italian,Ristorante Frescobaldi,4,80.0,4
British,Avenue,9,39.5,4
Indian,The Cinnamon Club,59,64.5,4.5
British,Skylon,25,64.5,4
Modern European,Heddon Street Kitchen,14,39.5,3
"Afternoon tea, British, French, Modern European",Bustronome ,56,80.0,5
"Afternoon tea, Indian",Cinnamon Bazaar,6,30.0,3
Modern European,Quaglino's,31,64.5,5
French,Côte Soho,4,30.0,4.5
"Afternoon tea, Bars, British",Lyaness at Sea Containers London,0,39.5,5
Italian,Carluccio's Garrick Street,2,39.5,1.5
Indian,Fatt Pundit,1,39.5,5
Pubs,The Harp,1,N\A,5
"Burgers, North American",Honest Burgers Covent Garden,0,30.0,5
,Gelupo,1,30.0,4.5
Pizza,Homeslice Fitzrovia,1,30.0,5
"Mediterranean, Turkish",Antalya,0,39.5,5
Modern European,Urban Tea Rooms,0,30.0,5
French,Rochester Brasserie,0,N\A,5
Bars,Kwant,0,30.0,5
Mexican,Cantina Laredo,20,39.5,4
Pubs,The Old Coffee House,0,N\A,5
Chinese,BaoziInn-Little Newport St,0,N\A,5
"Japanese, Sushi",Miyama Mayfair,2,39.5,3.5
Pubs,The Coal Hole,1,N\A,4.5
British,The Yard at Great Scotland Yard,0,64.5,5
Chinese,BaoziInn-Romilly St,0,39.5,5
Spanish,Ember Yard,6,39.5,4
Modern European,"Amphitheatre Restaurant, Bar & Terrace",0,N\A,5
Peruvian,Butifarra,0,30.0,5
Bars,The Tale Bar,0,N\A,5
German,Herman Ze German Fitzrovia,0,30.0,5
Bars,Cartizze,0,N\A,5
Pubs,Ye Grapes,0,N\A,5
Bars,The Pink Chihuahua,0,N\A,5
"Burgers, North American",Tommi's Burger Joint Soho,0,30.0,5
"British, Modern European",The Ivy Market Grill,11,39.5,3.5
,The Parlour at Fortnum & Mason,0,30.0,5
"Japanese, Sushi",Chisou Woodstock Street,0,64.5,5
Modern European,Hello Darling,0,39.5,5
"Brazilian, Japanese",Temakinho Soho,0,30.0,5
"Barbecue, North American",Bodean's Soho,8,39.5,3.5
Bars,Foundation Bar,6,30.0,4
"Bars, International",The Warwick,0,39.5,5
North American,Red Dog Saloon Soho,0,30.0,5
Bars,Bar Soho,1,N\A,4
,Afternoon Tea @Widbrook Grange Hotel,0,39.5,5
"Japanese, Sushi",Roka Charlotte Street,40,80.0,5
Italian,Cosmoba Restaurant,0,N\A,5
"Burgers, International",BOBO Social,3,39.5,4
Bars,Genuine Liquorette,0,N\A,5
"Bars, International",The National Café,1,39.5,4
French,Café Rouge - Irving Street,0,N\A,5
Modern European,The 10 Cases,17,39.5,4.5
Indian,Chutney Mary,9,64.5,5
Burgers,Jamboree Foodfest & Bar,0,30.0,5
Japanese,Cubé,1,64.5,3
,Bond & Brook,3,39.5,3
Pubs,The Thirsty Bear,7,N\A,3
British,Leicester Square Bar & Restaurant,0,N\A,5
"Bars, British",Tiger Tiger London,0,30.0,5
British,Butler's Restaurant at the Chesterfield Mayfair,1,64.5,5
Fish,FishWorks Covent Garden,0,64.5,5
International,Ahi Poké Victoria,0,30.0,5
Modern European,Le Chabanais,2,64.5,3
"North American, Steak",Steax and the City Mayfair,0,N\A,5
Italian,Spaghetti House Goodge Street,0,30.0,5
