cuisine,name,num_reviews,price,stars
"Afternoon tea, Indian",Afternoon tea at Cinnamon Bazaar,0,39.5,5
Bars,Manetta's Bar at Flemings Mayfair,0,N\A,5
Bars,Equus Bar at The Royal Horseguards,0,N\A,5
Italian,Cafe Murano St James's,19,64.5,4
"British, Vegan",Wild Food Café - Covent Garden,0,30.0,5
Bars,St James Bar,0,30.0,5
"Italian, Vegan, Vegetarian",Leggero,0,N\A,5
Italian,Theo Randall at the InterContinental Park Lane,23,64.5,5
Japanese,Shoryu New Oxford Street,1,30.0,3
Modern European,One Twenty One Two at The Royal Horseguards,0,64.5,5
Bars,Quaglino’s (bar),1,N\A,4
Modern European,Chambers Restaurant at the Apex Temple Court Hotel,0,39.5,5
Bars,Bar Américain at Brasserie Zédel,0,N\A,5
,Circus,5,64.5,4
"British, Steak",Gridiron,0,39.5,5
International,Live at The Hippodrome,0,N\A,5
"Barbecue, North American, Steak",The Big Smoke,1,39.5,5
"British, Wine Bars",The Bunghole Cellars,1,39.5,4
"Afternoon tea, Bars",The Den at St Martins Lane hotel,0,30.0,5
Modern European,Brumus at the Haymarket Hotel,10,64.5,3.5
Afternoon tea,Afternoon Tea at Claridge's,2,64.5,5
Indian,Gopal's of Soho,0,30.0,5
"Halal, Indian",Benares,37,64.5,4.5
International,Bubbledogs,8,39.5,2.5
"Afternoon tea, International",Hush Mayfair,3,64.5,4.5
Italian,Franco's,11,64.5,3
,Inamo Covent Garden,22,39.5,4
International,Sea Containers Restaurant ,15,64.5,3.5
"British, Wine Bars",Crusting Pipe,0,39.5,5
Fish,Bentley's Oyster Bar & Grill,27,64.5,4.5
Bars,Mahiki Mayfair,3,N\A,2.5
Bars,Tropicana Beach Club,0,30.0,5
"Afternoon tea, International",Ham Yard at Ham Yard Hotel,14,39.5,4
"Fish, International, Steak",Beast,3,80.0,3
"Bistro, Burgers, Fish and Chips, Gastropub, Steak, Vegan, Vegetarian",The Punchbowl London,4,39.5,3
Wine Bars,El Vino Fleet Street,4,39.5,4
Italian,Vasco & Piero's Pavilion,11,39.5,4.5
"International, Pizza",Buns & Buns,0,30.0,5
British,Ormer Mayfair at Flemings Mayfair,6,64.5,4
Fish,Bonnie Gull Seafood Shack Fitzrovia ,10,39.5,3.5
"Italian, Wine Bars",Enoteca da Luca Mayfair,0,64.5,5
"Italian, Pizza",Pizza Express St Martin's Lane,0,39.5,5
"Barbecue, Brazilian, Fusion, Mediterranean, Modern European, Portuguese, Vegan, Vegetarian, West African, Wine Bars",Volta do Mar,0,39.5,5
British,Indigo at One Aldwych,12,64.5,4
Bars,Long Bar at Sanderson hotel,2,30.0,4
"Fish, Japanese, Pan-Asian",Robata ,0,39.5,5
French,Brasserie Zédel,56,39.5,4.5
Afternoon tea,The Counter at The Delaunay,0,30.0,5
,Mad Hatters Afternoon Tea at Sanderson hotel,1,39.5,4
Modern European,Kitty Fisher's,9,64.5,4
Thai,Busaba Eathai Floral Street,2,39.5,3
Burgers,Kua'aina,1,39.5,5
British,H.O.M.E,0,64.5,5
Peruvian,Casita Andina,2,39.5,4
"Bars, South American",Barrio Soho,0,N\A,5
,Cure + Cut,0,30.0,5
"North American, Steak",Christopher's,21,64.5,4.5
"Italian, Pizza",Pizza Express 154 Victoria Street,1,39.5,5
Bars,The Coburg at The Connaught Hotel,1,N\A,4.5
Bars,Bitter Sweet,0,N\A,5
Modern European,Le Caprice,25,64.5,5
"Japanese, Sushi",Sushi Hiroba,4,39.5,3
Bars,Zoo,0,N\A,5
"Bars, Hotel Bars",The Fumoir at Claridge's,0,N\A,5
International,Egg’cellent,0,30.0,5
British,Players Bar & Kitchen,1,N\A,3.5
International,Rovi,2,39.5,5
Pubs,The Toucan,0,N\A,5
Indian,Tandoor Chop House,1,39.5,5
International,The Good Egg Soho,2,30.0,5
Mediterranean,Bistro 1 - Covent Garden,1,N\A,3.5
Bars,Boyds Bar,0,N\A,5
Afternoon tea,Afternoon Tea at Caffe Concerto De Pierre,0,N\A,5
Fish,Caviar Kaspia,0,64.5,5
Bars,Topolski,0,N\A,5
Indian,Lucknow 49,1,39.5,4
Wine Bars,Cork & Bottle,2,39.5,3.5
"Italian, Mediterranean",Locale Southbank,1,30.0,2.5
Bars,Swift,0,N\A,5
"British, French",Live at The Savoy,0,64.5,5
"Fusion, Mediterranean",Nopi,30,64.5,3.5
Bars,The George - Great Queen Street,0,N\A,5
"Burgers, Pizza",The Fire Station Waterloo Road,0,30.0,5
,The Brasserie at Mercure London Bloomsbury (afternoon tea),0,30.0,5
Chinese,Shu Xiangge,0,39.5,5
Middle Eastern,Maroush V,1,39.5,3.5
North American,Melt Room,0,30.0,5
Vietnamese,Banh Bao Brothers,0,30.0,5
North American,Dirty Bones Carnaby,0,30.0,5
Pubs,The Blue Posts,0,N\A,5
"Japanese, Sushi",Taro,0,30.0,5
Italian,Osteria Dell'Opera,0,N\A,5
"Japanese, Noodles",Ippudo Central Saint Giles,1,39.5,3.5
Spanish,Iberica Victoria,4,39.5,3
Italian,Bella Italia - Wellington Street,1,30.0,3.5
"Afternoon tea, International",Jean-Georges at The Connaught,3,64.5,5
,Auberge Sandell Street,0,N\A,5
Bars,Experimental Cocktail Club,14,39.5,2
"Afternoon tea, Italian",The Grand by Concerto,0,30.0,5
Korean,Asadal,7,39.5,3
"Bars, British, Modern European",12th Knot at Sea Containers London (formerly Rumpus Room),2,39.5,5
Wine Bars,Antidote,4,64.5,4
"Italian, Lebanese, Mediterranean, Middle Eastern, Pizza",Pucci Mayfair,7,30.0,4.5
Italian,Cafe Murano Covent Garden,23,64.5,4
North American,Joe Allen,31,39.5,4
British,Kerridge's Bar & Grill,25,64.5,5
"Chinese, Gastropub",The Duck and Rice,8,39.5,4
Afternoon tea,Diamond Jubilee Tea Salon at Fortnum & Mason (afternoon tea) ,5,39.5,3.5
French,Hélène Darroze at The Connaught,33,80.0,5
"British, Wine Bars",Truckles of Pied Bull Yard,2,39.5,3.5
Afternoon tea,Lutyens Lounge at The Bloomsbury Hotel (afternoon tea),0,39.5,5
Modern European,Refuel at The Soho Hotel,8,64.5,4.5
French,Galvin at Windows,40,64.5,4
Fish,Fishworks Swallow Street,3,39.5,4
Bars,Gymkhana Bar,1,N\A,5
"British, International",The Ivy,56,64.5,5
Japanese,Shoryu Ramen Carnaby,0,39.5,5
Japanese,Shoryu Ramen Regent St,0,39.5,5
Taiwanese,Xu,7,64.5,4
"Modern European, Steak, Vegetarian",Caxton Grill at St Ermin’s Hotel,1,39.5,5
"British, Scottish",Mac & Wild Fitzrovia,0,39.5,5
Scandinavian,Aquavit,6,64.5,4
Bars,Chambers Bar at the Apex Temple Court Hotel,1,N\A,5
"Afternoon tea, British",The Drawing Room at Flemings Mayfair,0,39.5,5
Italian,Quirinale,7,64.5,4
Bars,The Connaught Bar at the Connaught,3,N\A,4.5
"British, Wine Bars",Champagne Charlies,7,39.5,4.5
Bars,Q Bar at Quilon,0,N\A,5
"Japanese, Noodles",Ippudo Villiers Street,0,30.0,5
International,Jamies Tudor Street,0,39.5,5
French,Le Comptoir Robuchon ,0,64.5,5
Indian,Mint Leaf,12,64.5,3
Italian,Hai Cenato,5,39.5,3.5
Bars,OXO Tower Bar,1,N\A,5
"Afternoon tea, Japanese, Sushi",Ginza Onodera,1,64.5,4.5
Bars,Crazy Bear (bar),4,N\A,4
British,The Yacht London,1,39.5,4
Bars,Vijay's Speak Easy Bar (Lokhandwala),0,N\A,5
"British, North American",Heliot at The Hippodrome ,4,39.5,4
Bars,Rumours Mayfair,0,39.5,5
"British, Steak",Hawksmoor Seven Dials,41,64.5,5
"North American, Steak",STK London,17,64.5,2
"Japanese, Noodles",Shoryu Ramen Covent Garden,0,39.5,5
Pubs,The Burlington Arms,0,30.0,5
Modern European,Spring,16,64.5,3.5
British,"Rowley's, London",14,64.5,4.5
